name,source,celltype_annotation
c.COLO668,CCLE,A2
c.CORL24,CCLE,A
c.CORL279,CCLE,A
c.CORL311,CCLE,P
c.CORL47,CCLE,A
c.CORL88,CCLE,A2
c.CORL95,CCLE,A2
c.DMS114,CCLE,Y
c.DMS153,CCLE,A2
c.DMS273,CCLE,N
c.DMS454,CCLE,A2
c.DMS53,CCLE,A2
c.DMS79,CCLE,A
c.HCC33,CCLE,A
c.NCIH1048,CCLE,P
c.NCIH1092,CCLE,A
c.NCIH1105,CCLE,A
c.NCIH1184,CCLE,A
c.NCIH1339,CCLE,Y
c.NCIH1341,CCLE,Y
c.NCIH1436,CCLE,A
c.NCIH146,CCLE,A
c.NCIH1618,CCLE,A
c.NCIH1694,CCLE,N
c.NCIH1836,CCLE,A
c.NCIH1876,CCLE,A
c.NCIH1930,CCLE,A
c.NCIH196,CCLE,Y
c.NCIH1963,CCLE,A
c.NCIH2029,CCLE,A2
c.NCIH2066,CCLE,A2
c.NCIH2081,CCLE,A
c.NCIH209,CCLE,A
c.NCIH211,CCLE,P
c.NCIH2171,CCLE,N
c.NCIH2196,CCLE,A2
c.NCIH2227,CCLE,N
c.NCIH2286,CCLE,Y
c.NCIH446,CCLE,N
c.NCIH510,CCLE,A2
c.NCIH524,CCLE,N
c.NCIH526,CCLE,P
c.NCIH69,CCLE,A
c.NCIH841,CCLE,Y
c.NCIH889,CCLE,A
c.SBC5,CCLE,Y
c.SCLC21H,CCLE,A
c.SHP77,CCLE,A2
c.SW1271,CCLE,Y
m.DMS153,Minna,A2
m.HCC2433,Minna,N
m.HCC33,Minna,A
m.HCC4000,Minna,A2
m.HCC4001,Minna,N
m.HCC4002,Minna,A
m.HCC4003,Minna,A
m.HCC4004,Minna,A
m.HCC4005,Minna,A
m.HCC970,Minna,N
m.NCIH1048,Minna,P
m.NCIH1092,Minna,A
m.NCIH1184,Minna,A
m.NCIH1238,Minna,A2
m.NCIH128,Minna,A
m.NCIH1339,Minna,A
m.NCIH1417,Minna,A
m.NCIH1436,Minna,A
m.NCIH1450,Minna,P
m.NCIH146,Minna,A
m.NCIH1514,Minna,A
m.NCIH1522,Minna,A
m.NCIH1607,Minna,P
m.NCIH1628,Minna,A2
m.NCIH1672,Minna,A
m.NCIH1688,Minna,A2
m.NCIH1694,Minna,N
m.NCIH1836,Minna,A
m.NCIH187,Minna,A
m.NCIH1870,Minna,A
m.NCIH1876,Minna,A
m.NCIH1882,Minna,A
m.NCIH1926,Minna,A
m.NCIH1930,Minna,A
m.NCIH1963,Minna,A
m.NCIH1994,Minna,A2
m.NCIH2029,Minna,A2
m.NCIH2081,Minna,A
m.NCIH209,Minna,A
m.NCIH2107,Minna,A
m.NCIH2108,Minna,A
m.NCIH211,Minna,P
m.NCIH2141,Minna,A
m.NCIH2171,Minna,N
m.NCIH2195,Minna,A2
m.NCIH2196,Minna,A2
m.NCIH2198,Minna,A2
m.NCIH2227,Minna,N
m.NCIH250,Minna,A2
m.NCIH2679,Minna,P
m.NCIH3282,Minna,A
m.NCIH345,Minna,A
m.NCIH378,Minna,N
m.NCIH446,Minna,N
m.NCIH510,Minna,A2
m.NCIH524,Minna,N
m.NCIH526,Minna,P
m.NCIH60,Minna,N
m.NCIH69,Minna,A
m.NCIH711,Minna,A
m.NCIH735,Minna,A2
m.NCIH738,Minna,A
m.NCIH740,Minna,A
m.NCIH748,Minna,A
m.NCIH774,Minna,A2
m.NCIH841,Minna,Y
m.NCIH865,Minna,A2
m.NCIH889,Minna,A
m.SHP77,Minna,A2
